學年度,年級,學期,課次,課名,生字數,語詞數,認讀字數,生字,認讀字,語詞,TextNameId,來源網址
114,三年級,上學期,第8課,第八課：安平古堡參觀記,14,16,6,育、史、型、功、敗、守、護、勇、兵、土、附、瞭、頂、標,博、荷、蘭、鄭、駐、炮,教育、博物館、史料、模型、荷蘭、鄭成功、打敗、駐守、守護、勇敢、士兵、土地、附近、瞭望臺、屋頂、地標,0103031140108,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140108
114,三年級,上學期,第9課,第九課：馬太鞍的巴拉告,14,11,3,溼、族、別、捕、式、造、層、竹、植、或、釣、智、慧、態,鞍、蓮、蝦,溼地、阿美族、特別、捕魚、方式、打造、竹子、植物、釣魚、智慧、生態,0103031140109,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140109
114,三年級,上學期,第10課,第十課：狐狸的故事,14,8,2,狐、里、兄、密、入、呀、踢、棄、酸、鴉、肉、塊、計、壯,狸、萬,狐狸、萬里、兄弟、祕密、放棄、烏鴉、妙計、強壯,0103031140110,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140110
114,三年級,上學期,第11課,第十一課：巨人的花園,14,10,3,悅、拜、訪、免、離、漫、盼、枯、鑽、恍、悟、拆、盛、隨,築、顯、極,愉悅、拜訪、免得、離開、顯得、漫長、乾枯、恍然大悟、拆除、盛開,0103031140111,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140111
114,三年級,上學期,第12課,第十二課：奇特的朋友,14,11,1,障、漠、綿、央、男、複、疑、算、歲、帽、退、吞、蛇、訝,蠎,故障、沙漠、綿羊、中央、重複、疑問、打算、帽子、後退、蟒蛇、驚訝,0103031140112,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140112
114,三年級,下學期,第1課,第一課：許願,14,10,3,願、晨、苗、徐、嫩、築、巢、虔、誠、爛、杜、鮮、耀、翔,燦、鵑、豔,許願、晨光、樹苗、徐徐、虔誠、燦爛、杜鵑花、鮮豔、耀眼、飛翔,0103031140201,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140201
114,三年級,下學期,第2課,第二課：下雨的時候,14,10,3,披、紗、順、垂、股、涼、覺、舒、味、軟、踩、陷、連、摺,撐、簷、溝,輕紗、屋簷、垂掛、一股、清涼、感覺、舒服、味道、水溝、連忙,0103031140202,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140202
114,三年級,下學期,第3課,第三課：遇見美如奶奶,14,13,4,髮、鏡、架、拾、區、吵、麻、腦、電、展、術、助、製、椅,戴、雀、魔、號,短髮、眼鏡、書架、收拾、吵鬧、麻雀、魔法、暗號、腦子、電腦、魔術、幫助、特製,0103031140203,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140203
114,三年級,下學期,第4課,第四課：工匠之祖,14,13,4,匠、祖、宮、惱、便、解、斧、割、鋒、速、善、察、考、尺,魯、鈍、齒、鋸,工匠、魯班、王宮、苦惱、了解、斧頭、鋒利、速度、鋸子、善於、觀察、思考、曲尺,0103031140204,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140204
114,三年級,下學期,第5課,第五課：學田鼠開路,14,12,4,市、倫、決、糾、紛、律、改、挖、設、議、員、付、費、建,敦、爾、擁、擠,城市、倫敦、解決、糾紛、律師、改善、擁擠、設計、市議會、議員、費用、建議,0103031140205,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140205
114,三年級,下學期,第6課,第六課：神奇密碼,14,17,4,慶、描、目、程、結、資、影、周、例、產、券、包、類、技,碼、票、省、優,密碼、校慶、掃描、節目、流程、連結、資料、影音、車票、周圍、節省、例如、生產、優待券、錢包、人類、科技,0103031140206,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140206
114,三年級,下學期,第7課,第七課：油桐花．五月雪,14,12,4,桐、初、夏、腰、取、抬、梢、禮、肩、掌、瓣、鋪、童、染,覆、椏、簇、蕊,油桐、初夏、山腰、覆蓋、抬頭、枝椏、樹梢、禮服、肩頭、巴掌、花瓣、童話,0103031140207,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140207
114,三年級,下學期,第8課,第八課：大自然的美術館,14,12,4,野、柳、質、岬、趴、仙、列、潤、岩、菇、豆、雕、塑、鬼,龜、燭、濺、腐,野柳、地質、烏龜、仙女、排列、燭臺、圓潤、岩石、香菇、豆腐、雕塑、鬼斧神工,0103031140208,https://pedia.cloud.edu.tw/Bookmark/TCollection?TextNameId=0103031140208
